[2020-01-22 04:44:40,570] INFO [ZooKeeperClient Kafka server] Closing. (kafka.zookeeper.ZooKeeperClient)
[2020-01-22 04:44:40,675] INFO EventThread shut down for session: 0x100012bef8c0008 (org.apache.zookeeper.ClientCnxn)
[2020-01-22 04:44:40,678] INFO Session: 0x100012bef8c0008 closed (org.apache.zookeeper.ZooKeeper)
[2020-01-22 04:44:40,682] INFO [ZooKeeperClient Kafka server] Closed. (kafka.zookeeper.ZooKeeperClient)
[2020-01-22 04:44:40,684] INFO [ThrottledChannelReaper-Fetch]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-01-22 04:44:41,604] INFO [ThrottledChannelReaper-Fetch]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-01-22 04:44:41,605] INFO [ThrottledChannelReaper-Fetch]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-01-22 04:44:41,606] INFO [ThrottledChannelReaper-Produce]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-01-22 04:44:41,834] INFO [ThrottledChannelReaper-Produce]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-01-22 04:44:41,834] INFO [ThrottledChannelReaper-Produce]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-01-22 04:44:41,834] INFO [ThrottledChannelReaper-Request]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-01-22 04:44:42,834] INFO [ThrottledChannelReaper-Request]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-01-22 04:44:42,835] INFO [ThrottledChannelReaper-Request]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-01-22 04:44:42,843] INFO [SocketServer brokerId=0] Shutting down socket server (kafka.network.SocketServer)
[2020-01-22 04:44:42,885] INFO [SocketServer brokerId=0] Shutdown completed (kafka.network.SocketServer)
[2020-01-22 04:44:42,889] INFO [KafkaServer id=0] shut down completed (kafka.server.KafkaServer)
